61,31,43
63,31,44
64,32,45
65,32,43
68,30,41
72,30,40
79,31,43
88,30,42
104,34,45
116,34,46
127,33,47
138,30,45
152,31,48
165,34,52
172,35,53
172,34,50
166,29,45
163,31,44
159,33,44
156,35,42
153,36,42
152,37,40
153,37,40
155,36,38
161,35,38
167,34,37
173,32,38
178,33,38
183,32,39
186,33,38
187,32,38
187,32,38
189,32,41
190,33,42
189,34,40
186,35,40
185,36,40
184,39,42
184,46,46
184,50,51
181,53,54
178,55,57
175,56,58
171,56,59
165,54,60
161,54,60
161,56,63
160,56,63
157,54,58
154,53,57
151,55,57
148,56,59
147,58,60
141,59,61
134,58,60
128,58,60
121,55,57
115,55,57
111,52,56
108,51,57
107,52,58
105,52,60
104,51,59
103,50,58
104,51,61
105,51,64
107,53,66
108,56,68
108,58,69
105,55,66
98,50,62
93,47,58
89,45,58
86,44,56
85,43,57
85,44,58
85,47,60
87,49,62
87,49,64
86,50,64
88,50,65
87,51,65
87,50,67
86,52,68
86,52,68
85,53,68
86,54,69
85,54,69
81,53,68
82,55,70
82,58,72
81,57,71
79,57,70
77,55,68
77,55,68
77,55,68
80,56,72
80,56,72
82,55,72
81,54,71
82,53,71
82,53,71
83,52,70
83,52,70
80,51,69
80,51,69
80,53,70
79,55,71
81,57,73
81,58,74
81,60,75
81,60,75
80,62,76
83,65,79
84,66,82
82,65,81
81,67,84
84,71,89
84,72,92
82,70,90
83,74,95
82,74,95
76,71,94
78,74,97
85,81,106
80,78,102
72,70,94
73,73,97
78,80,101
75,80,100
77,79,100
76,78,99
77,80,99
78,81,100
82,80,101
82,80,101
81,78,99
81,78,99
83,78,98
84,79,99
86,78,99
85,77,98
85,77,98
84,76,97
80,75,95
88,83,103
87,82,102
83,78,98
85,81,98
85,81,98
88,84,99
99,95,110
103,99,114
109,102,118
113,107,121
114,106,121
113,102,118
111,100,114
111,100,116
114,102,116
115,103,113
116,103,112
114,98,109
109,92,102
107,89,101
113,93,105
117,95,108
116,94,107
115,93,106
114,92,105
113,93,105
115,95,107
114,96,110
